variableType,variableName,description,Yes/No,
Labels,movieTitle,Film's official title,Y,
,movieID,ID code given to the film,N,
,imdbLink,Film's IMDb URL,N,
Dependent variable,imdbScore,The IMDb rating (one month after it was first voted on by users),Y,
Predictors,movieBudget,The movie's budget (Note: Only about half of the films reveal their budgets to the public),Y,
,releaseDay,Release day,Y,
,releaseMonth,Release month,Y,"Nov:1, other:0"
,releaseYear,Release year,N,
,duration,Duration of the film (in minutes) ,Y,
,language,The dominant language in the film (Note: Some films are silent),Y,"English, Spanish & Others"
,country,Main country where the film was produced,Y,
,maturityRating,The content rating of the film (using the motion picture content rating system),Y,
,aspectRatio,The aspect ratio of the image of the film (ratio of an the width to the height),Y,
,distributor,Name of the main distributor of the film,Y,
,nbNewsArticles,Number of article in the news of the main country about the film,Y,
,director,Name of the main director of the movie,Y,
,actor1,Name of the main actor/actress,N,
,actor1_starMeter,The 2022 ranking of actors/actresses made by IMDbPro -- lower means more famous (https://m.imdb.com/chart/starmeter) (Note: You can get a free 30-day trial in IMDb pro),Y,
,actor2,Name of the second main actor/actress,N,
,actor2_starMeter,The 2022 ranking of actors/actresses made by IMDbPro -- lower means more famous (https://m.imdb.com/chart/starmeter) (Note: You can get a free 30-day trial in IMDb pro),Y,
,actor3,Name of the third main actor/actress,N,
,actor3_starMeter,The 2022 ranking of actors/actresses made by IMDbPro -- lower means more famous (https://m.imdb.com/chart/starmeter) (Note: You can get a free 30-day trial in IMDb pro),Y,
,colourFilm,"""Color"" if the image of the film is in color; ""Black and White"" if it is in black and white.",N,
,genres,List of genres for which the movie classifies into,Y,
,nbFaces,Number of faces in the main poster of the movie.,Y,
,plotKeywords,Keywords in the main IMDb plot of the film,N,
,action,"1 if the film has this genre, 0 if not",Y,
,adventure,"1 if the film has this genre, 0 if not",Y,
,scifi,"1 if the film has this genre, 0 if not",Y,
,thriller,"1 if the film has this genre, 0 if not",Y,
,musical,"1 if the film has this genre, 0 if not",Y,
,romance,"1 if the film has this genre, 0 if not",Y,
,western,"1 if the film has this genre, 0 if not",Y,
,sport,"1 if the film has this genre, 0 if not",Y,
,horror,"1 if the film has this genre, 0 if not",Y,
,drama,"1 if the film has this genre, 0 if not",Y,
,war,"1 if the film has this genre, 0 if not",Y,
,animation,"1 if the film has this genre, 0 if not",Y,
,crime,"1 if the film has this genre, 0 if not",Y,
,movieMeter_IMDBpro,The 2022 ranking of movie made by IMDbPro -- lower means more popular (https://m.imdb.com/chart/moviemeter) (Note: You can get a free 30-day trial in IMDb pro),Y,
,cinematographer,Name of the main cinematographer of the film,Y,
,productionCompany,Name of the main production company involved in the film,Y,
